time,cLi_s1,cLi_s2,cLi_s3,cLi_s4,cLi_s5,cLi_s6,,
0,0,0,0,0,0,0,,#DIV/0!
1,0.020165334,0.006471071,0.006479138,0.006476648,0.006439502,0.003215622,,310.9818289
2.5,0.033170421,0.011021235,0.010917941,0.010922101,0.01082883,0.005732354,,174.4484022
4.75,0.045283942,0.015924418,0.015391915,0.015397191,0.015201048,0.008578468,,116.5709373
8.125,0.05732609,0.021912901,0.020390161,0.020353743,0.019973632,0.012101144,,82.63681467
13.1875,0.069437837,0.029471784,0.026299518,0.026080465,0.025407116,0.016607452,,60.21393327
20.78125,0.081579209,0.038853373,0.033535217,0.03285932,0.031767331,0.022411312,,44.62032464
28.375,0.090499497,0.046836997,0.039813925,0.038602296,0.037128546,0.027579435,,36.25890066
35.96875,0.097459214,0.053762136,0.045422049,0.043665484,0.041849315,0.032275584,,30.9831729
43.5625,0.103115091,0.05985924,0.050510587,0.048238021,0.046117298,0.036598837,,27.32327254
54.953125,0.109741757,0.067619402,0.057244765,0.054308407,0.051807242,0.04243656,,23.5645868
66.34375,0.115113096,0.074327632,0.063260193,0.059774079,0.056958134,0.047756458,,20.93957632
77.734375,0.119586228,0.080212112,0.068683909,0.064750593,0.061675456,0.052647485,,18.99425981
89.125,0.123387943,0.085434661,0.073610604,0.069317261,0.066029615,0.057174188,,17.49041023
106.2109375,0.128026103,0.092127604,0.08009994,0.075417735,0.071893537,0.063289242,,15.80047371
123.296875,0.131882271,0.097931396,0.085856172,0.080897809,0.077200334,0.068840415,,14.52635055
140.3828125,0.135144116,0.103024135,0.091005508,0.085855202,0.082033398,0.073911891,,13.52962272
157.46875,0.137941605,0.107536134,0.095644972,0.090366165,0.086458159,0.078569501,,12.72758495
174.5546875,0.140368053,0.111565562,0.09985065,0.094491622,0.090527331,0.082866059,,12.06766687
191.640625,0.142492513,0.115188219,0.103683254,0.098281126,0.094284195,0.086844786,,11.51479605
200,0.143466364,0.11687177,0.105476049,0.100060454,0.096052487,0.088720479,,11.27135478
